SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618796874.5902982, , , , -0.035835, 0.000456, 0.047892, , , 
1618796874.6783, , , , -0.060267, 0.117010, -0.255609, , , 
1618796874.756099, , , , 0.143097, 0.261154, 0.134959, , , 
1618796874.8407931, , , , 0.203723, -0.350242, 0.119794, , , 
1618796874.913158, , , , -0.043210, 0.399712, -0.068729, , , 
1618796874.99024, , , , 0.020726, 0.263909, 0.010412, , , 
1618796875.059915, , , , 0.100168, 0.050623, -0.140629, , , 
1618796875.1407719, , , , 0.349153, -0.209000, -0.411289, , , 
1618796875.209628, , , , 0.027215, 0.048209, 0.013525, , , 
1618796875.290432, , , , 0.065219, 0.008723, -0.032019, , , 
1618796875.358893, , , , 0.009906, 0.106114, -0.077271, , , 
1618796875.440798, , , , 0.177610, -0.303023, 0.109063, , , 
1618796875.509945, , , , 0.130164, -0.096697, -0.080915, , , 
1618796875.590343, , , , 0.076531, -0.020221, -0.038155, , , 
1618796875.659006, , , , 0.176497, -0.150753, 0.017930, , , 
1618796875.7408009, , , , 0.195009, -0.060467, 0.004139, , , 
1618796875.8083081, , , , 0.161916, 0.014816, 0.017080, , , 
1618796875.890792, , , , 0.106004, -0.025637, -0.015027, , , 
1618796875.957841, , , , 0.112514, -0.021441, -0.054739, , , 
1618796875.989873, , , , 0.046165, -0.004087, -0.042986, , , 
1618796876.057672, , , , 0.116117, -0.005715, -0.004770, , , 
1618796876.089812, , , , 0.045183, 0.031019, 0.009303, , , 
1618796876.154282, , , , 0.305820, 0.072235, -0.001086, , , 
1618796876.190312, , , , 0.109450, 0.100224, 0.004848, , , 
1618796876.255166, , , , -0.032730, -0.044506, -0.039597, , , 
1618796876.2901201, , , , -0.073551, 0.047440, -0.039203, , , 
1618796876.357239, , , , -0.163475, 0.124311, -0.061853, , , 
1618796876.389818, , , , -0.052251, 0.045284, -0.020104, , , 
1618796876.458498, , , , -0.231453, 0.067832, -0.055902, , , 
1618796876.4901881, , , , -0.093112, -0.029599, -0.053294, , , 
1618796876.555459, , , , -0.030585, -0.357592, -0.006003, , , 
1618796876.590065, , , , -0.061612, -0.083960, -0.133149, , , 
1618796876.658901, , , , -0.034978, -0.339228, -0.102545, , , 
1618796876.689964, , , , -0.041554, -0.363731, -0.134919, , , 
1618796876.748127, , , , -0.075728, -0.325316, -0.116928, , , 
1618796876.8084059, , , , 0.077338, -0.207577, -0.136573, , , 
1618796876.840174, , , , 0.137374, -0.165326, -0.053649, , , 
1618796876.903606, , , , 0.254278, -0.223480, 0.053415, , , 
1618796876.940754, , , , 0.177020, -0.174138, -0.120993, , , 
1618796877.006833, , , , 0.157565, -0.236090, 0.021038, , , 
1618796877.0405002, , , , 0.003545, -0.063878, -0.049941, , , 
1618796877.108032, , , , -0.041760, -0.030715, 0.016891, , , 
1618796877.1397982, , , , -0.166570, -0.043059, 0.051986, , , 
1618796877.205625, , , , -0.221837, -0.008027, 0.063253, , , 
1618796877.240466, , , , -0.308076, 0.059555, 0.048184, , , 
1618796877.3067632, , , , -0.291661, 0.191084, 0.050389, , , 
1618796877.339957, , , , -0.195357, 0.126982, 0.054557, , , 
1618796877.409699, , , , -0.223550, 0.187124, 0.008425, , , 
1618796877.490783, , , , -0.001131, -0.045382, 0.092536, , , 
1618796877.5601811, , , , 0.057922, 0.073918, 0.078662, , , 
1618796877.640298, , , , 0.005242, 0.032878, 0.102243, , , 
1618796877.7099571, , , , -0.036666, -0.039587, 0.130216, , , 
1618796877.790281, , , , 0.058107, -0.060495, 0.132032, , , 
1618796877.8594599, , , , 0.076137, 0.027403, 0.120845, , , 
1618796877.9407768, , , , 0.201053, 0.097454, 0.115302, , , 
1618796878.010315, , , , 0.273659, -0.031098, 0.152588, , , 
1618796878.090303, , , , 0.238849, -0.077268, 0.096601, , , 
1618796878.159163, , , , 0.148124, -0.127542, 0.140509, , , 
1618796878.240808, , , , 0.300820, 0.064823, -0.016835, , , 
1618796878.310241, , , , 0.293472, 0.133170, -0.009322, , , 
1618796878.390302, , , , 0.194426, -0.058347, 0.004359, , , 
1618796878.460453, , , , -0.099662, 0.035742, -0.061728, , , 
1618796878.5407948, , , , 0.096467, -0.087808, -0.053937, , , 
1618796878.6108232, , , , 0.021756, -0.091216, -0.102506, , , 
1618796878.6907449, , , , 0.206215, -0.069331, -0.123841, , , 
1618796878.758731, , , , -0.154825, -0.134336, -0.234656, , , 
1618796878.790015, , , , -0.122767, 0.000696, -0.140615, , , 
