SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618796243.883507, , , , 0.044395, -0.005357, -0.013735, , , 
1618796243.954681, , , , 0.027625, -0.067405, -0.033423, , , 
1618796243.9830642, , , , 0.026404, -0.067855, -0.025147, , , 
1618796244.032806, , , , 0.013785, -0.086119, -0.039221, , , 
1618796244.0834432, , , , 0.062284, -0.090376, -0.075851, , , 
1618796244.133009, , , , 0.039230, 0.119558, -0.032976, , , 
1618796244.1834369, , , , -0.042990, 0.262504, -0.080065, , , 
1618796244.232491, , , , -0.031252, 0.346097, -0.156821, , , 
1618796244.283444, , , , 0.037552, -0.478408, -0.343326, , , 
1618796244.336007, , , , 0.229176, -0.270882, -0.201152, , , 
1618796244.3896341, , , , 0.198553, 0.220408, -0.152856, , , 
1618796244.443173, , , , 0.333998, -0.344622, -0.246859, , , 
1618796244.483439, , , , -0.029273, 0.134257, -0.196803, , , 
1618796244.5342932, , , , 0.256129, -0.238505, -0.132652, , , 
1618796244.5895271, , , , 0.003926, 0.219057, -0.164672, , , 
1618796244.644155, , , , -0.143897, 0.177322, -0.016574, , , 
1618796244.6834369, , , , 0.069009, 0.118189, 0.050125, , , 
1618796244.7362351, , , , 0.015649, 0.119178, -0.014399, , , 
1618796244.7835011, , , , 0.126446, -0.318183, 0.103797, , , 
1618796244.833431, , , , 0.112196, 0.019079, 0.085895, , , 
1618796244.8834481, , , , 0.084304, 0.121313, 0.027559, , , 
1618796244.937214, , , , -0.164382, 0.218403, -0.109402, , , 
1618796244.989584, , , , 0.107455, 0.190772, -0.036674, , , 
1618796245.037308, , , , -0.013932, -0.065294, 0.035568, , , 
1618796245.08457, , , , -0.058856, 0.046615, 0.041366, , , 
1618796245.132491, , , , 0.132658, -0.061391, 0.099084, , , 
1618796245.183436, , , , -0.235471, 0.246318, 0.020645, , , 
1618796245.23343, , , , -0.077737, 0.154708, -0.020084, , , 
1618796245.283442, , , , -0.239062, 0.175436, -0.051442, , , 
1618796245.332593, , , , -0.000232, -0.042898, -0.025838, , , 
1618796245.383434, , , , -0.169702, -0.057364, -0.024893, , , 
1618796245.432538, , , , -0.086253, -0.044194, -0.038773, , , 
1618796245.483443, , , , -0.129289, -0.027478, -0.042235, , , 
1618796245.532593, , , , -0.152013, 0.018951, -0.051089, , , 
1618796245.582706, , , , -0.180010, -0.012428, -0.042114, , , 
1618796245.633432, , , , -0.233642, -0.008101, -0.046148, , , 
1618796245.68344, , , , -0.048181, -0.219644, 0.004361, , , 
1618796245.732575, , , , -0.257727, -0.000958, -0.040667, , , 
1618796245.783433, , , , -0.059230, -0.091737, -0.003330, , , 
1618796245.8326092, , , , -0.158237, -0.016217, -0.007929, , , 
1618796245.8834438, , , , -0.054944, 0.002694, 0.005353, , , 
1618796245.932599, , , , -0.034043, -0.014867, -0.002790, , , 
1618796245.98343, , , , -0.029543, 0.010350, -0.005989, , , 
1618796246.033434, , , , 0.001350, -0.009031, 0.000989, , , 
1618796246.082529, , , , 0.020648, -0.013318, 0.003255, , , 
1618796246.132633, , , , -0.007645, 0.014893, 0.000755, , , 
1618796246.1834269, , , , 0.054157, 0.080047, -0.003523, , , 
1618796246.232624, , , , -0.081446, 0.074892, 0.001884, , , 
1618796246.283442, , , , 0.070403, -0.000905, 0.030483, , , 
1618796246.332658, , , , 0.045291, 0.037679, 0.030346, , , 
1618796246.38343, , , , 0.029018, 0.101186, -0.003791, , , 
1618796246.4334269, , , , 0.056224, 0.127966, -0.023209, , , 
1618796246.483444, , , , -0.008746, 0.082330, -0.014653, , , 
1618796246.532474, , , , 0.075722, 0.021321, 0.009401, , , 
1618796246.582797, , , , 0.007738, 0.016941, 0.003104, , , 
1618796246.632715, , , , 0.023532, -0.043132, 0.001237, , , 
1618796246.683459, , , , 0.041664, -0.156557, 0.014343, , , 
1618796246.732679, , , , 0.153495, 0.033606, -0.031149, , , 
1618796246.783433, , , , 0.038645, -0.097968, -0.000474, , , 
1618796246.833436, , , , 0.133703, -0.045145, -0.011290, , , 
1618796246.883497, , , , 0.130681, -0.027484, -0.005773, , , 
1618796246.932632, , , , 0.316139, -0.046483, 0.023166, , , 
1618796246.983447, , , , 0.026472, 0.054995, -0.023551, , , 
1618796247.032716, , , , 0.076573, -0.161237, 0.040102, , , 
1618796247.083469, , , , 0.043502, -0.052028, -0.006287, , , 
1618796247.135581, , , , 0.023566, -0.076562, -0.019679, , , 
1618796247.187309, , , , 0.013638, -0.033511, -0.045991, , , 
1618796247.235853, , , , -0.100998, 0.026719, -0.072933, , , 
1618796247.282938, , , , -0.043592, 0.092770, -0.070947, , , 
1618796247.332666, , , , 0.075036, -0.055459, 0.007718, , , 
1618796247.383431, , , , 0.010574, 0.027173, -0.048260, , , 
1618796247.4326072, , , , -0.036864, 0.019895, -0.029030, , , 
1618796247.483437, , , , -0.024548, 0.009434, -0.018382, , , 
1618796247.5326262, , , , -0.038155, 0.022642, -0.031379, , , 
1618796247.583426, , , , 0.052371, -0.031554, -0.006168, , , 
1618796247.633429, , , , 0.027041, 0.027754, -0.017136, , , 
1618796247.683443, , , , 0.093267, 0.015281, 0.006904, , , 
1618796247.732541, , , , 0.165294, 0.023470, 0.015747, , , 
1618796247.783461, , , , 0.070566, 0.011819, 0.011859, , , 
1618796247.832605, , , , 0.088335, -0.002422, 0.032448, , , 
1618796247.8834949, , , , 0.094745, 0.003305, -0.000769, , , 
1618796247.932561, , , , 0.129738, -0.032483, -0.009035, , , 
1618796247.9834309, , , , -0.047059, -0.011628, -0.019741, , , 
1618796248.033427, , , , -0.012320, -0.016896, -0.023850, , , 
1618796248.0834398, , , , -0.023923, -0.013410, -0.018832, , , 
1618796248.132512, , , , 0.017983, -0.039801, -0.019007, , , 
1618796248.1825209, , , , -0.006625, -0.011387, -0.015363, , , 
1618796248.232528, , , , -0.019963, 0.001737, -0.022485, , , 
1618796248.283437, , , , 0.025660, 0.003547, -0.008447, , , 
1618796248.332499, , , , -0.033641, 0.003800, -0.000366, , , 
1618796248.383982, , , , 0.039154, -0.018635, -0.004147, , , 
1618796248.433504, , , , -0.032326, 0.056823, -0.031110, , , 
1618796248.4834409, , , , 0.042000, 0.011625, -0.004026, , , 
1618796248.5325851, , , , -0.003504, 0.002863, -0.008726, , , 
1618796248.583426, , , , -0.071026, 0.044172, -0.008445, , , 
1618796248.6325068, , , , -0.057827, 0.022646, -0.005089, , , 
1618796248.682764, , , , -0.090538, 0.034264, -0.015714, , , 
1618796248.732549, , , , -0.015021, 0.071287, -0.018505, , , 
1618796248.7834249, , , , -0.008689, 0.056708, -0.026714, , , 
1618796248.8334389, , , , -0.032454, -0.028665, -0.027090, , , 
1618796248.8834372, , , , -0.102228, -0.023464, -0.043599, , , 
1618796248.9325361, , , , -0.014021, -0.072031, -0.043034, , , 
1618796248.983426, , , , 0.039244, -0.144615, -0.015517, , , 
1618796249.032576, , , , -0.060934, 0.085350, -0.072101, , , 
1618796249.083437, , , , 0.075802, -0.120635, -0.000349, , , 
1618796249.1324391, , , , -0.112623, -0.013071, -0.032713, , , 
1618796249.183425, , , , -0.053505, -0.082273, -0.007189, , , 
1618796249.232516, , , , -0.112240, -0.031894, -0.022912, , , 
1618796249.2834349, , , , -0.081359, -0.038475, -0.011455, , , 
1618796249.3324351, , , , -0.085065, -0.109847, 0.009906, , , 
1618796249.382564, , , , -0.085359, 0.000635, -0.017525, , , 
1618796249.432509, , , , -0.033131, -0.057416, 0.008932, , , 
1618796249.483436, , , , -0.098948, -0.017794, -0.006267, , , 
1618796249.5327601, , , , -0.121390, -0.017872, -0.013439, , , 
1618796249.5834231, , , , -0.171814, 0.048105, -0.001432, , , 
1618796249.633425, , , , -0.004014, -0.161258, 0.041820, , , 
1618796249.6847239, , , , -0.154801, -0.004046, -0.015345, , , 
1618796249.735033, , , , -0.064478, 0.004023, -0.009736, , , 
1618796249.784573, , , , -0.040824, 0.004830, 0.009676, , , 
1618796249.8338819, , , , -0.066486, 0.010945, -0.006327, , , 
1618796249.883493, , , , -0.006636, -0.042031, 0.003358, , , 
1618796249.933332, , , , -0.003661, 0.003096, 0.003319, , , 
1618796249.983443, , , , -0.052428, -0.021947, -0.003545, , , 
1618796250.0336819, , , , 0.020942, -0.042508, -0.001218, , , 
1618796250.083671, , , , -0.050357, -0.040716, -0.005862, , , 
1618796250.1347919, , , , -0.027713, 0.095643, -0.048957, , , 
1618796250.184905, , , , -0.120577, -0.054602, 0.016846, , , 
1618796250.234494, , , , -0.018850, -0.065369, 0.000397, , , 
1618796250.284581, , , , -0.082885, -0.004530, -0.005553, , , 
1618796250.3340359, , , , -0.006676, 0.009885, -0.009306, , , 
1618796250.383491, , , , 0.019274, -0.001816, -0.005809, , , 
1618796250.433518, , , , -0.012937, -0.004349, -0.006065, , , 
1618796250.483496, , , , 0.040855, -0.065997, 0.002148, , , 
1618796250.532631, , , , 0.003829, -0.013313, -0.002390, , , 
1618796250.583427, , , , 0.013868, -0.068773, 0.005940, , , 
1618796250.633181, , , , -0.005741, -0.103217, 0.019017, , , 
1618796250.683434, , , , 0.096667, 0.016936, -0.021989, , , 
1618796250.733525, , , , -0.015927, 0.064433, -0.021423, , , 
1618796250.784284, , , , 0.171247, -0.007090, 0.006585, , , 
1618796250.833613, , , , 0.212258, 0.071923, -0.007789, , , 
1618796250.883502, , , , 0.209263, 0.043837, -0.015320, , , 
1618796250.9334779, , , , 0.087237, 0.047059, -0.028374, , , 
1618796250.983502, , , , 0.127685, -0.025580, -0.006469, , , 
1618796251.0335999, , , , 0.108087, 0.041317, -0.018684, , , 
1618796251.083434, , , , 0.109436, -0.028620, -0.011918, , , 
1618796251.13328, , , , 0.105330, -0.026901, -0.016938, , , 
1618796251.1851978, , , , 0.067298, -0.056853, -0.021863, , , 
1618796251.2349381, , , , -0.039878, 0.097463, -0.084765, , , 
1618796251.284532, , , , 0.112898, -0.097906, -0.022592, , , 
1618796251.3344631, , , , 0.024595, -0.038023, -0.035674, , , 
1618796251.384986, , , , -0.077506, 0.038964, -0.045203, , , 
1618796251.434421, , , , -0.045318, -0.011413, -0.009040, , , 
1618796251.4837399, , , , -0.050092, 0.057749, -0.026181, , , 
1618796251.533865, , , , 0.074277, -0.047768, 0.001969, , , 
1618796251.583774, , , , 0.212177, -0.058849, -0.005797, , , 
1618796251.633497, , , , 0.000142, -0.004736, -0.012857, , , 
1618796251.683494, , , , -0.007743, 0.004847, -0.018349, , , 
1618796251.7333488, , , , 0.113749, -0.096280, 0.009435, , , 
1618796251.7834911, , , , -0.021055, 0.024007, -0.030684, , , 
1618796251.833472, , , , 0.169545, -0.042649, 0.014272, , , 
1618796251.883251, , , , 0.092174, -0.016739, -0.014079, , , 
1618796251.933124, , , , -0.027984, 0.028697, 0.000568, , , 
1618796251.983762, , , , 0.055295, -0.033635, 0.001480, , , 
1618796252.033452, , , , 0.001876, 0.037463, 0.018577, , , 
1618796252.083517, , , , 0.016323, -0.032011, 0.028523, , , 
1618796252.134468, , , , -0.001147, 0.039735, 0.008171, , , 
1618796252.1848888, , , , 0.012156, -0.002207, 0.017403, , , 
1618796252.234867, , , , -0.005127, -0.000156, -0.003369, , , 
1618796252.2850142, , , , 0.005825, -0.018610, 0.000260, , , 
1618796252.335192, , , , 0.014249, -0.040234, 0.006245, , , 
1618796252.386086, , , , 0.031027, -0.042681, -0.005332, , , 
1618796252.436531, , , , 0.053061, -0.069045, 0.004161, , , 
1618796252.486938, , , , -0.101532, -0.014951, -0.007894, , , 
1618796252.5377731, , , , -0.037016, -0.016360, 0.003173, , , 
1618796252.587923, , , , -0.087060, 0.007133, -0.007846, , , 
1618796252.639113, , , , 0.006160, 0.012401, -0.010338, , , 
1618796252.689287, , , , -0.034289, -0.005143, -0.000762, , , 
1618796252.739408, , , , 0.006597, -0.009903, -0.002533, , , 
1618796252.78975, , , , -0.024283, -0.004621, -0.012838, , , 
1618796252.8402429, , , , 0.006414, 0.016406, -0.014630, , , 
1618796252.890269, , , , 0.062595, -0.132578, 0.012660, , , 
1618796252.941076, , , , -0.075969, 0.106220, -0.053124, , , 
1618796252.991797, , , , 0.110018, -0.154214, 0.006878, , , 
1618796253.043818, , , , -0.123202, 0.015280, -0.031274, , , 
1618796253.095859, , , , -0.047180, -0.054752, -0.017997, , , 
1618796253.147299, , , , -0.168849, -0.020682, -0.016433, , , 
1618796253.183414, , , , -0.088661, 0.017494, -0.023879, , , 
1618796253.233416, , , , 0.019200, -0.021678, -0.013969, , , 
1618796253.284338, , , , -0.043733, 0.025656, -0.020986, , , 
