SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1618796580.5736809, , , , 0.009823, 0.124600, 0.006347, , , 
1618796580.6645699, , , , -0.064550, 0.084321, -0.024634, , , 
1618796580.727382, , , , -0.007171, 0.051301, -0.021145, , , 
1618796580.7869802, , , , -0.046242, 0.037703, -0.013970, , , 
1618796580.824257, , , , -0.167357, 0.263807, -0.027973, , , 
1618796580.8848782, , , , -0.002245, 0.008486, -0.059538, , , 
1618796580.945395, , , , 0.038345, -0.030412, -0.080913, , , 
1618796581.0243149, , , , 0.065687, -0.052963, -0.154927, , , 
1618796581.093643, , , , -0.007962, -0.094708, -0.161761, , , 
1618796581.173764, , , , -0.005764, -0.011208, -0.071284, , , 
1618796581.2432861, , , , 0.014429, 0.122580, 0.025437, , , 
1618796581.323909, , , , 0.014844, 0.110058, 0.078062, , , 
1618796581.394438, , , , 0.089774, 0.091219, 0.066318, , , 
1618796581.47432, , , , -0.172974, -0.071180, 0.033086, , , 
1618796581.543311, , , , -0.037035, -0.028138, -0.032686, , , 
1618796581.6243072, , , , -0.010400, 0.030907, -0.031238, , , 
1618796581.69412, , , , -0.102993, 0.032871, 0.002812, , , 
1618796581.7736912, , , , -0.048417, 0.044023, 0.015052, , , 
1618796581.842879, , , , -0.021545, -0.020849, 0.023991, , , 
1618796581.923331, , , , 0.024750, -0.014267, 0.017654, , , 
1618796581.99319, , , , 0.008113, -0.040269, 0.010316, , , 
1618796582.074291, , , , 0.022672, -0.057675, 0.001307, , , 
1618796582.144319, , , , -0.017623, -0.012557, -0.004417, , , 
1618796582.224258, , , , -0.032256, -0.039049, 0.005665, , , 
1618796582.295408, , , , 0.020411, -0.027940, 0.006166, , , 
1618796582.3735418, , , , 0.025201, 0.011282, 0.002730, , , 
1618796582.444988, , , , 0.089651, -0.018182, 0.001096, , , 
1618796582.5234962, , , , 0.151419, 0.033807, 0.000888, , , 
1618796582.597394, , , , 0.195962, 0.081169, -0.002045, , , 
1618796582.6742558, , , , 0.298824, -0.222138, 0.043792, , , 
1618796582.743517, , , , 0.247418, -0.149751, 0.003984, , , 
1618796582.824528, , , , 0.186585, -0.107945, 0.014384, , , 
1618796582.896538, , , , 0.204172, -0.011333, 0.007981, , , 
1618796582.973549, , , , 0.119518, 0.021820, -0.021113, , , 
1618796583.045267, , , , 0.232492, 0.033786, -0.024254, , , 
1618796583.123743, , , , 0.230697, 0.023053, -0.032571, , , 
1618796583.194428, , , , 0.186186, 0.054322, -0.033235, , , 
1618796583.274328, , , , 0.126157, 0.067268, -0.025241, , , 
1618796583.343761, , , , 0.064022, 0.048214, -0.035102, , , 
1618796583.423815, , , , 0.085196, 0.032623, -0.050770, , , 
1618796583.493314, , , , 0.055889, -0.013433, -0.024025, , , 
1618796583.573575, , , , 0.054431, -0.034033, -0.014427, , , 
1618796583.6436539, , , , 0.052233, 0.038121, -0.014100, , , 
1618796583.723824, , , , 0.007539, -0.000835, -0.005407, , , 
1618796583.794055, , , , 0.004877, 0.004393, -0.006974, , , 
1618796583.8743281, , , , 0.055789, 0.023509, -0.005959, , , 
1618796583.9443278, , , , -0.005613, -0.079264, 0.003708, , , 
1618796584.024324, , , , 0.043014, -0.086744, 0.010642, , , 
1618796584.094909, , , , 0.064595, -0.029414, 0.006952, , , 
1618796584.173637, , , , -0.064861, 0.002797, 0.004490, , , 
1618796584.242858, , , , -0.215663, -0.009725, 0.004659, , , 
1618796584.273627, , , , -0.175705, 0.014026, -0.003985, , , 
1618796584.33531, , , , -0.167123, -0.087375, 0.003923, , , 
1618796584.39706, , , , -0.203906, 0.033949, -0.029303, , , 
1618796584.47375, , , , -0.192659, 0.001180, -0.028883, , , 
1618796584.545035, , , , -0.124921, -0.036744, -0.039560, , , 
1618796584.6242661, , , , -0.228497, -0.106751, -0.005469, , , 
1618796584.693507, , , , -0.110402, -0.103403, -0.020684, , , 
1618796584.7232928, , , , -0.146984, -0.081105, -0.000094, , , 
1618796584.783445, , , , -0.122566, -0.036080, -0.030746, , , 
1618796584.845675, , , , -0.156394, -0.062293, -0.005618, , , 
1618796584.923675, , , , -0.158181, -0.010083, -0.024429, , , 
1618796584.996139, , , , -0.126248, -0.090682, 0.001709, , , 
1618796585.0743, , , , -0.004788, -0.018054, -0.056476, , , 
1618796585.145376, , , , -0.026815, -0.062573, -0.071575, , , 
1618796585.2242742, , , , 0.010617, -0.067200, -0.072865, , , 
1618796585.296135, , , , -0.062269, -0.125371, -0.015975, , , 
1618796585.373454, , , , -0.029859, -0.040045, -0.060727, , , 
1618796585.444675, , , , -0.013167, -0.059934, -0.032015, , , 
1618796585.4733229, , , , -0.038833, -0.026135, -0.050249, , , 
1618796585.5344582, , , , -0.076736, -0.077766, -0.010181, , , 
1618796585.597405, , , , -0.090894, -0.000843, -0.034605, , , 
1618796585.674269, , , , 0.055186, -0.005873, -0.024633, , , 
1618796585.746206, , , , -0.024835, -0.015986, -0.027023, , , 
1618796585.824269, , , , 0.058647, -0.091470, -0.014362, , , 
1618796585.8952289, , , , 0.038886, -0.031431, -0.021035, , , 
1618796585.9238958, , , , 0.062927, -0.046960, -0.018939, , , 
1618796585.9852571, , , , 0.011826, -0.013351, -0.037759, , , 
1618796586.047721, , , , 0.055666, -0.053868, -0.007373, , , 
1618796586.123666, , , , -0.007868, 0.093569, -0.047728, , , 
1618796586.187159, , , , 0.122470, -0.068850, -0.004193, , , 
1618796586.252252, , , , -0.022505, 0.015494, -0.034379, , , 
